14:28:45.088 -> 78,200,946,909,892,956,892,907,;980,984,880,908,240,108,221,75,;895,946,923,925,889,910,794,36,;897,919,884,908,883,912,888,912,;3.52,-8.75,-3.21;-0.09,-0.02,0.01;Error,no connection with satelite
14:28:45.136 -> 78,198,946,909,883,956,893,907,;980,984,878,914,272,105,217,75,;895,945,922,925,889,910,794,36,;897,919,884,908,883,912,888,912,;3.65,-8.61,-3.25;-0.11,-0.02,0.02;Error,no connection with satelite
14:28:45.184 -> 77,197,946,909,891,956,894,907,;980,983,864,908,258,103,218,75,;895,945,921,925,889,909,794,36,;897,919,884,908,882,911,888,912,;3.54,-8.61,-3.11;-0.12,-0.02,0.00;Error,no connection with satelite
14:28:45.229 -> 78,247,946,909,892,956,894,907,;988,994,859,913,264,159,216,75,;895,944,920,925,889,910,795,36,;898,919,884,908,883,912,888,912,;3.51,-8.50,-3.13;-0.14,-0.09,-0.00;Error,no connection with satelite
14:28:45.277 -> 78,244,946,909,892,956,894,907,;988,994,865,911,260,156,213,75,;895,944,922,925,889,910,794,36,;898,919,884,908,882,911,888,912,;3.28,-8.47,-3.06;-0.13,-0.04,0.00;Error,no connection with satelite
14:28:45.277 -> 78,242,947,909,892,956,894,907,;988,994,864,911,256,153,215,75,;895,945,922,925,889,910,794,36,;898,919,884,908,883,911,888,912,;3.37,-8.50,-3.06;-0.10,-0.01,0.02;Error,no connection with satelite
14:28:45.324 -> 78,242,947,909,892,956,894,907,;988,992,862,911,254,154,216,75,;895,946,923,925,889,909,794,36,;898,920,884,908,883,912,888,912,;3.62,-8.55,-3.18;-0.10,-0.03,0.03;Error,no connection with satelite
14:28:45.371 -> 78,258,947,909,892,956,894,907,;985,988,863,911,265,171,214,75,;895,947,923,925,889,909,794,36,;898,920,885,909,883,911,888,912,;3.74,-8.49,-3.25;-0.07,0.00,0.01;Error,no connection with satelite
14:28:45.371 -> 78,277,946,909,892,956,894,907,;988,991,853,910,286,195,215,75,;895,944,922,925,889,909,794,36,;898,920,884,908,883,912,888,912,;3.60,-8.54,-3.25;-0.07,-0.01,-0.00;Error,no connection with satelite
14:28:45.419 -> 78,264,946,909,892,956,895,907,;988,992,847,910,274,178,216,75,;895,945,922,925,890,909,794,36,;899,920,884,908,883,912,888,912,;3.45,-8.60,-3.25;-0.08,-0.04,0.00;Error,no connection with satelite
14:28:45.467 -> 78,278,947,909,892,956,896,907,;983,986,847,911,367,199,216,75,;895,945,923,925,890,909,794,36,;899,920,884,908,883,912,888,912,;3.50,-8.64,-3.23;-0.08,-0.03,0.01;Error,no connection with satelite
14:28:45.514 -> 78,234,947,909,892,956,896,907,;986,989,855,911,305,149,214,76,;895,945,922,925,890,909,794,36,;899,920,884,908,883,912,888,912,;3.41,-8.75,-3.20;-0.08,-0.01,0.01;Error,no connection with satelite
14:28:45.561 -> 77,292,946,909,892,956,897,907,;987,991,836,910,266,216,213,76,;895,946,923,925,890,909,794,36,;899,920,884,908,883,912,888,912,;3.60,-8.62,-2.35;-0.04,-0.00,-0.01;Error,no connection with satelite
14:28:45.561 -> 77,310,946,909,892,956,899,907,;987,993,828,910,258,234,213,75,;895,944,923,925,890,909,794,36,;899,921,884,908,883,912,888,912,;3.71,-8.70,-1.86;-0.02,0.13,0.00;Error,no connection with satelite
14:28:45.609 -> 77,288,946,909,892,956,900,907,;984,993,832,910,323,207,215,76,;895,967,952,925,890,909,794,36,;897,920,884,908,883,911,888,912,;3.72,-8.57,-2.04;-0.05,0.27,-0.02;Error,no connection with satelite
14:28:45.657 -> 77,281,946,908,892,958,901,906,;984,993,836,910,429,199,214,75,;895,967,952,925,888,909,794,36,;897,920,884,908,883,912,888,912,;4.19,-8.25,-2.20;-0.20,0.29,0.02;Error,no connection with satelite
14:28:45.704 -> 76,339,947,909,892,956,903,907,;984,993,851,911,365,248,214,76,;895,967,951,925,889,909,794,36,;897,920,884,908,883,912,888,912,;4.91,-7.92,-1.76;-0.41,0.15,0.06;Error,no connection with satelite
14:28:45.704 -> 75,247,946,909,892,956,904,907,;984,992,858,910,187,161,220,75,;895,967,951,924,890,909,794,36,;898,920,884,908,883,912,888,912,;5.43,-7.88,-1.82;-0.48,-0.05,0.08;Error,no connection with satelite
14:28:45.752 -> 72,242,947,909,892,956,904,907,;985,993,848,910,324,155,215,75,;895,967,951,924,890,909,794,36,;898,921,884,908,883,912,888,912,;5.31,-8.34,-2.07;-0.43,-0.29,0.07;Error,no connection with satelite
14:28:45.800 -> 118,263,947,909,893,956,905,908,;982,985,831,910,301,180,221,75,;895,967,950,925,890,909,794,36,;898,921,885,908,883,912,888,912,;5.56,-8.82,-2.08;-0.47,-0.40,-0.04;Error,no connection with satelite
14:28:45.847 -> 29,302,947,909,887,956,907,908,;960,973,807,910,410,224,221,75,;895,967,951,925,890,909,794,36,;902,927,884,908,882,912,888,912,;5.65,-10.04,-3.05;-0.68,-0.20,-0.23;Error,no connection with satelite
14:28:45.894 -> 33,237,947,909,896,956,910,907,;967,979,788,909,382,146,218,75,;895,967,953,925,890,909,794,36,;899,922,887,908,883,912,888,912,;5.28,-11.40,-4.62;-0.87,0.16,-0.29;Error,no connection with satelite
14:28:45.940 -> 39,240,947,909,890,956,911,907,;985,987,795,909,334,160,219,75,;895,969,956,925,891,909,793,36,;898,921,885,908,883,912,888,912,;3.62,-11.44,-3.77;-0.94,0.15,0.22;Error,no connection with satelite
14:28:45.987 -> 109,209,946,909,891,956,910,907,;987,988,857,910,291,125,217,75,;895,967,952,925,891,909,793,36,;899,921,885,908,883,912,888,912,;4.24,-10.94,-4.68;-0.47,0.93,0.57;Error,no connection with satelite
14:28:46.032 -> 50,186,946,908,899,956,910,907,;973,983,895,911,164,88,218,75,;895,967,951,925,891,909,793,36,;901,924,884,908,882,912,888,912,;4.26,-8.98,-5.29;-0.17,2.03,0.47;Error,no connection with satelite
14:28:46.032 -> 149,239,946,908,908,956,911,907,;972,982,896,911,251,128,216,75,;895,966,950,925,891,909,793,37,;900,924,885,908,883,912,888,912,;2.78,-7.84,-4.03;-0.19,1.87,0.26;Error,no connection with satelite
